array_id,steps,tol,time,valid_prob,best_valid,optimal_cost,forest_cost,best_sol_prob
3,3,0.0001,228.85099005699158,189,False,10.592347769499794,29.710884820239933,189
4,3,0.0001,435.90802907943726,229,False,16.351329800903056,26.918292303081145,305
5,3,0.0001,444.5911829471588,110,False,7.015732974626147,7.015732974626147,213
6,3,0.0001,534.4581019878387,752,True,8.865328920887457,15.570652076707223,252
7,3,0.0001,217.6435570716858,361,False,10.876939194053232,6.636568822090664,260
8,3,0.0001,644.8100080490112,461,False,7.52544855114458,7.97384428020138,202
9,3,0.0001,207.66284489631653,314,True,6.771884551538916,9.03123784276886,201
10,3,0.0001,214.1793987751007,164,False,9.36642439337583,3.5136246203628714,190
11,3,0.0001,487.78210186958313,1058,True,5.763460361100241,5.763460361100241,314
12,3,0.0001,198.09642791748047,477,True,6.747338386496936,11.900082949860384,252
13,3,0.0001,424.90422916412354,988,True,11.854375002548004,14.179520739001568,306
14,3,0.0001,287.6691439151764,440,False,6.188920995282521,7.36066093028208,246
15,3,0.0001,457.07152700424194,405,False,6.995437713198868,6.668712860154728,185
16,3,0.0001,193.43932271003723,68,False,12.120799734081803,21.12008704960956,383
17,3,0.0001,199.58355402946472,317,False,4.161710027271481,3.844309765227034,186
18,3,0.0001,427.87992811203003,621,True,4.614868503178576,4.67961432433109,267
19,3,0.0001,434.95055413246155,282,False,7.093699648272111,5.371494334650228,331
20,3,0.0001,188.3994860649109,280,False,3.1310681204466966,8.541691948883692,147
21,3,0.0001,414.51352882385254,228,True,6.690400067111552,9.468255019488195,121
22,3,0.0001,190.23961782455444,397,True,6.771701575192436,11.052767830372854,347
23,3,0.0001,202.9148268699646,212,False,3.625408254753477,1.1983965699595343,111
24,3,0.0001,378.23665404319763,174,False,1.7811625454141127,2.508257113851176,186
25,3,0.0001,177.44929003715515,241,False,4.325131476676338,4.140955615036735,172
26,3,0.0001,359.2874708175659,116,False,3.713754803421203,4.780237850435779,192
27,3,0.0001,200.71067905426025,3358,True,8.597099609724689,10.050485425598135,3346
28,3,0.0001,206.87262988090515,132,False,14.69601009087123,19.303411440817882,240
29,3,0.0001,269.00340723991394,608,False,8.0787286272809,8.0787286272809,333
30,3,0.0001,458.22561407089233,3531,True,10.466815969753727,10.466815969753727,3529
31,3,0.0001,516.406830072403,467,True,12.730892876502343,13.82324150331888,225
32,3,0.0001,476.15260076522827,180,False,12.958493846940186,0.0,748
33,3,0.0001,445.7028970718384,476,False,8.846278714782033,15.942509290658569,399
34,3,0.0001,200.73196291923523,676,True,8.495600183475414,8.495600183475414,311
35,3,0.0001,253.19262194633484,539,True,6.8586407557214155,6.8586407557214155,179
36,3,0.0001,247.43845081329346,394,True,10.052627889651655,10.052627889651655,215
37,3,0.0001,383.5659031867981,152,False,3.5753333337250637,3.6814647113047005,187
38,3,0.0001,196.33855414390564,166,False,8.853366519614582,10.61314674131562,180
39,3,0.0001,269.0983672142029,297,False,8.247657149546324,23.968277798207225,191
40,3,0.0001,201.91728115081787,147,False,8.443303200625039,0.0,205
41,3,0.0001,249.9281361103058,192,False,5.665303670595755,4.7879843465130465,196
42,3,0.0001,209.89353895187378,272,False,7.868659034958549,7.711219354795759,163
43,3,0.0001,196.40350604057312,122,False,5.312832389409001,10.340487715053797,511
44,3,0.0001,206.81780099868774,269,False,10.282279854679185,14.836408640148843,146
45,3,0.0001,260.00296807289124,289,False,7.761358764644074,3.8980046110191973,289
46,3,0.0001,490.2630741596222,397,True,7.800102126435672,7.800102126435672,181
47,3,0.0001,459.0634334087372,1248,True,9.8441233010235,9.8441233010235,266
48,3,0.0001,526.1219890117645,513,True,7.195286835400254,7.195286835400254,289
49,3,0.0001,448.29379892349243,1140,False,5.759910466133199,10.1953863450674,365
50,3,0.0001,484.82469391822815,203,False,9.248502228791061,17.977301528413864,463
51,3,0.0001,227.66562485694885,183,False,11.769976627568973,20.936715224545548,211
52,3,0.0001,191.00663900375366,150,False,5.0151515993620865,5.0151515993620865,221
53,3,0.0001,343.23194313049316,303,False,6.540949928031271,8.646006421959193,116
54,3,0.0001,468.0928020477295,157,False,9.803864645992999,11.120387292148909,230
