,capacity_constant,cost,percentile,relative_error
48,4,12.821485671597383,65.4320987654321,0.23529023071804236
49,4,12.244365411812828,29.629629629629626,0.1796873905229637
50,6,10.924115337944734,3.7037037037037033,0.05248746532499382
51,6,13.053814257695818,76.5432098765432,0.25767400433639065
52,6,12.94389075341153,75.30864197530865,0.2470833883620286
53,6,12.943890753411532,75.30864197530865,0.24708338836202876
54,6,12.631760620917824,54.32098765432099,0.21701110865451115
55,6,12.94389075341153,75.30864197530865,0.2470833883620286
56,6,12.821485671597383,65.4320987654321,0.23529023071804236
57,6,13.053814257695818,76.5432098765432,0.25767400433639065
58,6,12.943890753411532,75.30864197530865,0.24708338836202876
59,6,12.997977512061347,75.30864197530865,0.252294394814996
60,2,14.219258613475438,95.06172839506173,0.31676227303624815
61,2,14.219258613475438,95.06172839506173,0.31676227303624815
62,2,14.219258613475438,95.06172839506173,0.31676227303624815
63,2,14.219258613475438,95.06172839506173,0.31676227303624815
64,2,14.399495304735645,96.29629629629629,0.33345293755819505
65,2,12.996415964667559,37.03703703703704,0.20352197622612006
66,2,14.219258613475438,95.06172839506173,0.31676227303624815
67,2,13.212282624611252,44.44444444444444,0.22351212350080454
68,2,14.21925861347544,95.06172839506173,0.3167622730362483
69,2,14.43331936946078,96.29629629629629,0.33658518612061905
70,4,14.219258613475438,95.06172839506173,0.31676227303624815
71,4,14.219258613475438,95.06172839506173,0.31676227303624815
72,4,14.279762175619132,95.06172839506173,0.322365153621008
73,4,14.559135967618685,98.76543209876543,0.348236324501286
74,4,12.528811083469177,19.753086419753085,0.16021982644553234
75,4,14.433319369460781,96.29629629629629,0.3365851861206192
76,4,14.279762175619132,95.06172839506173,0.322365153621008
77,4,12.64854421258569,20.98765432098765,0.17130761038271944
78,4,14.219258613475438,95.06172839506173,0.31676227303624815
79,4,12.618434974410457,20.98765432098765,0.16851937015327192
80,6,14.21925861347544,95.06172839506173,0.3167622730362483
81,6,12.996415964667559,37.03703703703704,0.20352197622612006
82,6,14.672527196825612,98.76543209876543,0.3587368222256462
83,6,14.21925861347544,95.06172839506173,0.3167622730362483
84,6,14.21925861347544,95.06172839506173,0.3167622730362483
85,6,14.21925861347544,95.06172839506173,0.3167622730362483
86,6,14.69942735098714,98.76543209876543,0.3612278879767951
87,6,14.559135967618685,98.76543209876543,0.348236324501286
88,6,14.279762175619132,95.06172839506173,0.322365153621008
89,6,14.21925861347544,95.06172839506173,0.3167622730362483
90,2,11.409582011847617,20.98765432098765,0.19947009563245832
91,2,12.423699564657456,90.12345679012346,0.3060825619601703
92,2,12.315387034021693,86.41975308641975,0.29469584846400837
93,2,12.423699564657456,90.12345679012346,0.3060825619601703
94,2,12.423699564657456,90.12345679012346,0.3060825619601703
95,2,12.52936127609895,90.12345679012346,0.3171905993094627
96,2,11.872578642825289,53.086419753086425,0.24814414983178157
97,2,12.423699564657456,90.12345679012346,0.3060825619601703
98,2,12.529361276098951,90.12345679012346,0.31719059930946286
99,2,12.423699564657454,90.12345679012346,0.30608256196017014
100,4,12.975158888217218,100.0,0.3640565496909027
101,4,12.775780961227992,97.53086419753086,0.34309628480964427
102,4,12.423699564657456,90.12345679012346,0.3060825619601703
103,4,11.56141021388489,30.864197530864196,0.21543153820136648
104,4,13.371800788817843,100.0,0.40575484310351384
105,4,12.423699564657456,90.12345679012346,0.3060825619601703
106,4,12.423699564657454,90.12345679012346,0.30608256196017014
107,4,12.127793874160483,76.5432098765432,0.2749744962562702
108,4,12.423699564657454,90.12345679012346,0.30608256196017014
109,4,12.423699564657456,90.12345679012346,0.3060825619601703
110,6,12.820341465258082,100.0,0.3477808553727815
111,6,13.345552421552576,100.0,0.40299539656452815
112,6,12.315387034021693,86.41975308641975,0.29469584846400837
113,6,12.52936127609895,90.12345679012346,0.3171905993094627
114,6,12.52936127609895,90.12345679012346,0.3171905993094627
115,6,12.52936127609895,90.12345679012346,0.3171905993094627
116,6,10.843198351572028,7.4074074074074066,0.13992713757755496
117,6,12.423699564657456,90.12345679012346,0.3060825619601703
118,6,12.52936127609895,90.12345679012346,0.3171905993094627
119,6,12.127793874160483,76.5432098765432,0.2749744962562702
120,2,14.143323587219315,88.88888888888889,0.3663485111032433
121,2,12.00465520049055,7.4074074074074066,0.15973750146820576
122,2,14.037817618797996,86.41975308641975,0.35615586282110656
123,2,13.459669683739097,62.96296296296296,0.3003025433807605
124,2,13.683401581794959,77.77777777777779,0.3219166812395006
125,2,13.634286406974592,72.8395061728395,0.3171717960946096
126,2,13.683401581794959,77.77777777777779,0.3219166812395006
127,2,13.00902402091189,33.33333333333333,0.256766876064522
128,2,13.68340158179496,77.77777777777779,0.3219166812395008
129,2,13.683401581794957,77.77777777777779,0.32191668123950046
130,4,13.783477834165737,80.24691358024691,0.331584779235022
131,4,12.942907920816422,28.39506172839506,0.2503795771833008
132,4,13.51169655119936,64.19753086419753,0.3053287193324961
133,4,11.534580149523517,6.172839506172839,0.11432481313970057
134,4,13.907959841511335,82.71604938271605,0.3436106516791411
