steps,tol,time,valid_prob,best_valid,optimal_cost,forest_cost,best_sol_prob
3,0.001,337.2148480415344,1075,True,14.0,21.0,333
1,0.0001,40.555419921875,266,False,14.0,14.0,156
1,0.001,26.51268696784973,202,False,14.0,14.0,108
2,0.0001,148.16707921028137,382,False,14.0,0,287
3,0.001,319.30498814582825,6210,True,14.0,14.0,6205
1,0.001,41.565349102020264,1793,True,14.0,21.0,344
1,0.001,39.30310010910034,218,False,14.0,14.0,122
1,0.001,34.37291407585144,243,False,14.0,14.0,160
1,0.01,42.59642004966736,903,True,14.0,14.0,662
3,0.01,127.56212615966797,270,False,14.0,42.0,164
2,0.01,108.23746681213379,845,True,14.0,14.0,559
2,0.01,129.15147590637207,757,True,14.0,14.0,720
1,0.0001,33.85291004180908,370,True,14.0,14.0,209
3,0.01,188.88838720321655,268,False,14.0,0.0,132
3,0.001,132.3278169631958,144,False,14.0,42.0,146
2,0.0001,76.19267082214355,883,True,14.0,14.0,565
3,0.0001,292.471394777298,2858,True,14.0,14.0,2663
1,0.0001,45.60213875770569,216,False,14.0,14.0,91
1,0.0001,70.16536927223206,198,False,14.0,28.0,120
1,0.01,32.69042086601257,138,False,14.0,35.0,125
1,0.001,38.44700813293457,642,True,14.0,21.0,172
2,0.001,116.74884295463562,198,False,14.0,21.0,133
2,0.01,65.24470496177673,327,False,14.0,28.0,158
3,0.001,294.4832479953766,1066,True,14.0,21.0,332
1,0.01,38.68603301048279,190,False,14.0,14.0,109
2,0.0001,260.01389598846436,685,True,14.0,14.0,235
1,0.0001,36.129642963409424,442,False,14.0,70.0,200
3,0.001,143.45300889015198,262,False,14.0,14.0,206
1,0.01,29.467278003692627,896,False,14.0,0,371
2,0.001,69.34430694580078,228,False,14.0,14.0,181
2,0.01,220.87816309928894,6709,True,14.0,14.0,6709
1,0.01,31.963613986968994,943,True,14.0,14.0,699
1,0.01,51.477607011795044,180,False,14.0,14.0,187
3,0.001,149.22654604911804,1532,True,14.0,14.0,1466
1,0.0001,51.37628102302551,1701,True,14.0,21.0,332
1,0.001,42.64748811721802,94,False,14.0,14.0,321
1,0.01,34.472771883010864,213,False,14.0,7.0,102
3,0.01,124.00639533996582,294,False,14.0,21.0,179
3,0.0001,492.1813907623291,1789,True,14.0,21.0,399
3,0.01,174.37896513938904,656,False,14.0,14.0,211
2,0.0001,86.28868412971497,1394,True,14.0,14.0,779
2,0.001,168.88329792022705,177,False,14.0,42.0,158
3,0.0001,313.6177899837494,694,True,14.0,21.0,192
3,0.01,150.06472611427307,531,True,14.0,21.0,257
1,0.001,45.999311208724976,222,False,14.0,7.0,100
2,0.0001,167.21184635162354,718,True,14.0,14.0,310
2,0.001,76.77271318435669,186,False,14.0,0.0,135
1,0.001,22.678913116455078,105,False,14.0,14.0,335
1,0.0001,31.57376194000244,1283,True,14.0,14.0,272
1,0.01,34.638083934783936,152,False,14.0,14.0,215
1,0.01,30.51243495941162,146,False,14.0,14.0,258
3,0.0001,336.5663113594055,589,False,14.0,70.0,258
1,0.001,49.345672845840454,954,True,14.0,14.0,719
