steps,tol,valid_prob,almost_valid_prob,time,best_valid,best_almost_valid
2,0.01,1349,2782,44.91490411758423,False,False
3,0.001,3531,757,137.2869200706482,True,False
3,0.0001,3137,1070,157.18034100532532,False,False
2,0.01,2166,1964,46.05542206764221,True,False
1,0.01,1288,2982,8.789697170257568,True,False
1,0.001,1275,2921,15.82564401626587,True,False
1,0.001,1213,2930,11.460446834564209,False,False
1,0.01,614,3165,22.747612953186035,True,False
2,0.0001,2646,1452,47.47955822944641,False,False
1,0.01,1212,2983,13.966470003128052,True,False
2,0.01,2746,1400,62.88756608963013,False,False
3,0.0001,3486,834,262.669646024704,True,False
2,0.0001,2821,1457,47.33017587661743,True,False
2,0.001,2284,1864,41.67105412483215,True,False
1,0.001,611,3339,13.299730062484741,True,False
3,0.0001,3410,909,147.53903102874756,False,False
3,0.0001,3565,712,197.79700589179993,True,False
3,0.0001,3273,981,307.48515701293945,False,False
3,0.01,3032,1248,87.4162049293518,True,False
1,0.01,1246,2990,10.878551959991455,False,True
2,0.0001,2195,1893,58.38246703147888,True,False
3,0.01,2129,1988,94.99239492416382,False,False
1,0.0001,1249,2908,19.019001722335815,False,False
3,0.01,3586,751,163.5199420452118,False,False
3,0.001,2221,1982,322.94774889945984,True,False
1,0.001,1225,2951,15.74409294128418,False,False
3,0.001,3009,1161,201.780925989151,False,False
2,0.01,573,3281,30.066807985305786,False,False
1,0.01,1226,3026,12.933864831924438,False,False
3,0.0001,3437,884,259.89213490486145,False,True
3,0.01,3131,1178,87.37380981445312,True,False
2,0.01,2624,1478,34.118228912353516,False,False
3,0.01,3418,862,44.33552408218384,False,False
1,0.001,1241,2999,14.792423963546753,False,False
3,0.0001,3315,948,219.5548484325409,False,False
1,0.01,1296,2950,17.084752082824707,True,False
3,0.001,3176,1049,251.88591599464417,True,False
3,0.0001,3346,878,108.59977698326111,False,False
2,0.01,2271,1854,50.99908208847046,False,False
1,0.01,1264,2961,14.464507818222046,True,False
2,0.0001,2240,1831,143.37730193138123,False,False
1,0.0001,1242,2983,26.238100051879883,False,False
2,0.01,2876,1378,42.358044147491455,True,False
3,0.0001,3516,814,252.3894670009613,False,False
2,0.01,2647,1456,56.11551785469055,True,False
2,0.01,2158,2017,50.163816928863525,False,False
1,0.01,1250,3000,8.56044316291809,False,False
1,0.01,1299,3030,13.052070140838623,True,False
2,0.0001,2789,1402,58.44782280921936,False,False
2,0.001,2321,1813,36.96861720085144,True,False
3,0.01,1017,3182,54.34356689453125,True,False
1,0.001,1266,2842,18.514845848083496,True,False
3,0.01,3458,777,94.93605303764343,True,False
3,0.0001,3018,877,121.658518075943,False,False
2,0.001,2817,1339,111.99204206466675,True,False
1,0.01,1228,2995,24.974703311920166,False,False
1,0.01,1250,2933,14.865431070327759,True,False
3,0.01,3196,1129,131.6050627231598,True,False
2,0.0001,2841,1432,105.93576908111572,True,False
2,0.001,2815,1360,102.83233594894409,False,False
3,0.001,2887,1297,79.63217115402222,False,False
1,0.0001,1213,2975,22.081403732299805,False,False
3,0.0001,3529,822,152.77352285385132,True,False
2,0.001,2731,1432,53.68014693260193,False,True
1,0.01,1264,2971,14.47592306137085,True,False
3,0.01,3559,715,140.93529772758484,False,False
2,0.01,2675,1458,83.71423482894897,True,False
3,0.0001,2649,1572,322.2026300430298,True,False
2,0.01,2594,1543,37.29879093170166,False,True
1,0.001,1278,2973,20.083564043045044,False,True
3,0.01,2102,2049,44.282142877578735,True,False
3,0.0001,3219,803,187.8527090549469,True,False
3,0.0001,2503,1640,172.3605670928955,False,False
3,0.01,3678,666,145.34383821487427,True,False
2,0.01,2608,1547,38.20342493057251,True,False
3,0.001,3336,929,219.17013096809387,False,False
2,0.001,2254,1836,45.41496014595032,True,False
2,0.01,2595,1452,24.472442150115967,False,False
2,0.01,2223,1859,39.54228091239929,False,False
