starting_node,initial_state,steps,tol,time,optimal_cost,forest_cost,best_sol_prob
3,all,2,0.001,195.4079909324646,10.658629412287832,10.658629412287832,6373
1,all,2,0.001,484.1158721446991,14.00051090123332,14.00051090123332,3416
0,all,2,0.001,304.48142886161804,9.134686469545848,9.134686469545848,7320
1,all,2,0.001,363.3782858848572,12.032477862973685,12.032477862973685,7267
1,all,2,0.001,343.0012049674988,16.571433913926228,16.571433913926228,6727
3,all,2,0.001,260.7571427822113,12.013597986052613,12.013597986052613,7799
0,all,2,0.001,553.5897421836853,12.349805966369074,12.349805966369074,8685
2,all,2,0.001,487.8027377128601,4.7736969839875245,4.7736969839875245,6580
3,all,2,0.001,547.881096124649,12.686537575485051,12.686537575485051,4333
2,all,2,0.001,291.39416909217834,18.65851956985088,18.65851956985088,4648
0,all,2,0.001,404.3259975910187,11.918420171636418,11.918420171636418,8036
1,all,2,0.001,211.27462792396545,12.13307416840214,12.13307416840214,7055
1,all,2,0.001,314.56935691833496,13.899112303928472,13.899112303928472,5216
0,all,2,0.001,454.3474590778351,12.236607741420627,14.675080643901541,6838
1,all,2,0.001,362.0685329437256,14.426315707314625,14.426315707314625,6131
3,all,2,0.001,353.4448137283325,11.68641901889248,11.68641901889248,5512
2,all,2,0.001,288.52854585647583,6.626087451875563,6.626087451875563,4565
2,all,2,0.001,386.73095989227295,12.143416573444966,12.576312254771022,6092
1,all,2,0.001,873.7403652667999,12.087482468579761,12.087482468579761,4416
2,all,2,0.001,243.4638500213623,12.01955487636791,12.01955487636791,6486
1,all,2,0.001,233.32263612747192,10.809491214410507,11.405282743749323,9210
0,all,2,0.001,826.11612200737,11.234327327015567,11.234327327015567,7557
1,all,2,0.001,401.8074059486389,12.485282887486456,12.485282887486456,3888
1,all,2,0.001,184.06003379821777,14.581778550262804,14.581778550262804,3709
0,all,2,0.001,307.5140070915222,15.14683723472308,15.14683723472308,5137
2,all,2,0.001,488.6648907661438,10.484604085837075,10.484604085837075,7072
1,all,2,0.001,420.39287400245667,11.81566196779779,12.065183325943513,6401
1,all,2,0.001,298.9670510292053,14.31115296716546,15.379670313007374,5992
1,all,2,0.001,598.671502828598,16.999717636304858,16.999717636304858,4250
0,all,2,0.001,431.4177978038788,9.798711193970172,9.798711193970172,9736
2,all,2,0.001,411.8403789997101,20.877274394131312,20.90305883653653,7640
3,all,2,0.001,690.6024069786072,6.190038710980135,6.190038710980135,5875
0,all,2,0.001,249.58907508850098,11.161529771493488,11.709382838796397,6830
3,all,2,0.001,474.48020195961,12.020776077864326,13.486285751060517,4596
1,all,2,0.001,245.50304102897644,15.152358659612826,15.443558452461211,5290
0,all,2,0.001,213.04521417617798,10.68004779030008,10.68004779030008,4725
1,all,2,0.001,582.7736940383911,9.928200035159133,9.928200035159133,7672
3,all,2,0.001,435.0515639781952,10.397221237576147,11.38828105545271,4263
1,all,2,0.001,473.7258608341217,10.632061196320162,10.632061196320162,4891
1,all,2,0.001,198.83526802062988,9.632400574261833,9.632400574261833,6112
2,all,2,0.001,398.54669189453125,9.663417097888821,15.052052477608697,3317
2,all,2,0.001,303.5319437980652,10.537895807519602,10.537895807519602,6623
2,all,2,0.001,169.0391402244568,11.392076258971564,12.4289116403059,4825
1,all,2,0.001,202.50159907341003,10.3954447002363,10.3954447002363,5007
1,all,2,0.001,194.02819681167603,10.881190188595234,10.881190188595234,5603
2,all,2,0.001,229.95206809043884,14.443784652376973,15.965961155951055,5320
1,all,2,0.001,269.2648859024048,11.0934829038574,11.0934829038574,5500
0,all,2,0.001,306.299546957016,13.45664323251166,13.45664323251166,7645
1,all,2,0.001,336.82206296920776,12.149606829975038,12.149606829975038,6311
3,all,2,0.001,414.46818494796753,12.826425719967947,12.826425719967947,6814
2,all,2,0.001,353.8640751838684,14.90539156948794,14.90539156948794,6516
2,all,2,0.001,310.75607800483704,16.23167156051629,16.23167156051629,5903
3,all,2,0.001,242.4480528831482,12.737667304482141,15.49257584457036,4721
3,all,2,0.001,413.11163210868835,9.000196536846435,9.000196536846435,5792
0,all,2,0.001,332.2392210960388,12.829926646457206,12.829926646457206,5082
0,all,2,0.001,626.2106020450592,9.899049116514933,9.899049116514933,8390
3,all,2,0.001,368.5844819545746,12.796480644239153,13.198203624486474,3760
2,all,2,0.001,288.35752415657043,6.945123859526303,7.790004138500424,5308
2,all,2,0.001,446.65487003326416,8.900532676104222,8.900532676104222,5274
3,all,2,0.001,183.09904098510742,10.763811683585125,10.763811683585125,5336
1,all,2,0.001,343.93352127075195,10.001197533614897,10.001197533614897,5460
0,all,2,0.001,827.235063791275,11.272644584613579,11.891830199489544,6107
