case,initial_state,steps,tol,time,optimal_cost,forest_cost,best_sol_prob
1,all,2,0.001,478.0798180103302,51.08993796665287,51.08993796665287,5068
0,"[2, 1, 0]",2,0.001,117.00381207466125,61.629173385177424,61.629173385177424,10000
6,"[2, 0, 1]",2,0.001,107.44054889678955,6.4528100185656205,6.4528100185656205,9999
8,"[2, 0, 1]",2,0.001,228.705570936203,10.932425170168917,10.932425170168917,10000
5,"[2, 1, 0]",2,0.001,93.99349617958069,2.7778854741986256,2.7778854741986256,8293
8,all,2,0.001,235.1878378391266,10.998180787912927,10.998180787912927,4973
3,"[2, 0, 1]",2,0.001,212.9986298084259,15.036828914198532,15.036828914198532,10000
1,"[2, 1, 0]",2,0.001,235.7136721611023,89.76861477857939,89.76861477857939,10000
4,"[2, 1, 0]",2,0.001,124.75306582450867,36.494189457857274,36.494189457857274,10000
2,"[2, 1, 0]",2,0.001,123.62369513511658,76.88140358421361,76.88140358421361,9999
7,"[2, 1, 0]",2,0.001,127.44603490829468,43.089387874386,43.17905790954366,9992
0,all,2,0.001,273.2061460018158,15.334061835666258,15.334061835666258,5041
0,"[2, 0, 1]",2,0.001,137.61241793632507,87.06939183391854,87.06939183391854,10000
3,"[2, 1, 0]",2,0.001,210.24983096122742,44.099552811244735,44.099552811244735,10000
8,"[2, 1, 0]",2,0.001,125.55732583999634,9.540983875831543,9.540983875831543,10000
6,all,2,0.001,211.81395816802979,44.52286381142142,44.52286381142142,4908
0,"[2, 0, 1]",2,0.001,188.5955491065979,18.502503015050497,18.502503015050497,10000
7,"[2, 0, 1]",2,0.001,150.88586473464966,28.7588053884428,28.7588053884428,10000
8,"[2, 1, 0]",2,0.001,118.56428694725037,8.33337207649574,8.33337207649574,10000
7,all,2,0.001,954.9773907661438,5.655361760761171,5.655361760761171,3082
5,"[2, 0, 1]",2,0.001,106.14395809173584,4.685874891010652,4.685874891010652,8525
7,all,2,0.001,389.14765906333923,48.54821665434568,48.54821665434568,5862
4,all,2,0.001,272.0070242881775,25.403169855757397,25.403169855757397,5772
1,"[2, 1, 0]",2,0.001,133.92122101783752,1.3572985263584192,1.3572985263584192,10000
0,all,2,0.001,318.83106994628906,61.126097882009844,61.126097882009844,4909
8,all,2,0.001,649.7498869895935,5.173364250851456,5.173364250851456,5442
6,"[2, 1, 0]",2,0.001,122.44845199584961,11.1733218058332,11.1733218058332,10000
5,all,2,0.001,160.79447722434998,0.26587825794951553,0.2658782579495156,1723
6,"[2, 1, 0]",2,0.001,148.08951902389526,42.83513561040771,42.83513561040771,10000
7,all,2,0.001,286.5685019493103,65.30770759339316,65.30770759339316,4465
1,"[2, 0, 1]",2,0.001,114.42440414428711,67.4316923233211,67.4316923233211,10000
8,"[2, 1, 0]",2,0.001,121.0801420211792,8.458331904160685,8.458331904160685,9999
2,all,2,0.001,435.57355976104736,66.10914532812149,66.10914532812149,4994
4,"[2, 1, 0]",2,0.001,182.1325879096985,33.93404104568483,33.93404104568483,10000
1,"[2, 0, 1]",2,0.001,228.27937698364258,8.429311566252075,8.429311566252075,3203
3,"[2, 0, 1]",2,0.001,136.97021079063416,3.006699547248149,3.006699547248149,10000
6,"[2, 1, 0]",2,0.001,113.54572296142578,22.647022046606605,22.647022046606605,10000
0,"[2, 0, 1]",2,0.001,121.00673007965088,95.59790589756074,95.59790589756074,10000
8,all,2,0.001,213.09364199638367,7.756030075454298,7.756030075454298,4661
2,"[2, 1, 0]",2,0.001,126.10829401016235,86.46297369289685,86.46297369289685,10000
